raw_number,title_en,source
Client-MDR,TD Submission Checklist,docx
PAPUWIS-DPN-001,Documentation Plan,xlsx
PAPUWIS-UlS-001,User Interface Requirement Specification,docx
PAPUWIS-Fl1-001,Final inspection Operation Instruction,docx
PAPUWIS-lll-001,Incoming inspection Operation Instruction,docx
PAPUWIS-lW1-001,Installation Operation Instruction,docx
PAPUWIS-MPL-001,Purchase List of Raw Materials,xlsx
PAPUWIS-PTS-001,Purchase Technical Specification,xlsx
PAPUWIS-PW1-001,Software Release Operation Instruction,docx
QR-SMP,9.1-02-01 Declaration of conformity,docx
Off-The-Shelf,Software List,docx
Form-Visual,Studio 2022,docx
Report-Visual,Studio 2022,docx
PAPUWIS-SM1-001,Software Maintenance Plan,docx
PAPUWlS-Fll-001,Final Inspection Operation Instruction,docx
PAPUWlS-1l1-001,Incoming Inspection Operation Instruction,docx
PAPUWlS-lWl-001,Installation Operation Instruction,docx
PAPUWlS-PVS-001,Software release verification scheme,docx
PAPUWlS-PWl-001,Software Release Operation Instruction,docx
Benefit-risk,analysis and risk management,docx
PAPUWIS-UTP-001,Unit Test Plan,xlsx
PAPUWIS-STP-001,System Test Plan,xlsx
PAPUWIS-RTP-001,User Test Plan,xlsx
PAPUWIS-RTR-001,User Test Report,xlsx
PAPUWIS-NTP-001,Cybersecurity System Test Plan,docx
AINS-FUS-001,Formative Usability Test Specification,xlsx
AINS-FUP-001,Formative Usability Test Plan,xlsx
AINS-FUR-001,Formative Usability Test Report,xlsx
PAPUWIS-SUP-001,Summary Usability Test Plan,xlsx
PAPUWIS-CLSR-001,Test Report of EN 62304,docx
PAPUWIS-TROI-001,Test Report of lEC 82304,docx
face-to-face,care for continuous positive airway pressure treatment real-world Australian experience,docx
sleep-disordered,breathing in adolescents and adults with neuromuscular disorders,docx
In-Hospital,Rehabilitation,docx
Telemedicine-based,"Follow-Up in Sleep Apnea: A Randomized Controlled Multicenter Trial.” Annals of the American Thoracic Society vol. 20,10 (2023): 1499-1507. doi:10.1513/AnnalsATS.202208-723OC",docx
Post-Market,Clinical Follow-up Management System,docx
PAPUWIS-CBS-001,Malformed Input (Fuzz) Test Report,xlsx
PAPUWIS-CBS-002,Cybersecurity Capability Verification,xlsx
PAPUWIS-CBS-003,Vulnerability Test Report,xlsx
PAPUWIS-CBS-004,Penetration Test Report,xlsx
PAPUWIS-CBS-005,Vulnerability Chaining Analysis Test Report,xlsx
PAPUWIS-CBS-006,Vulnerability Attack Surface Analysis Test Report,xlsx
PAPUWIS-TMD-001,Threat Modeling Document,xlsx
PAPUWIS-CRA-001,Cybersecurity Risk Assessment,xlsx
PAPUWIS-III-001,Incoming Inspection Operation Instruction,xlsx
PAPUWIS-PII-001,/,xlsx
PAPUWIS-LPS-001,/,xlsx
PAPUWIS-SPN-001,/,xlsx
PAPUWIS-ATR-001,/,xlsx
PAPUWIS-VSR-001,/,xlsx
SMP 7.3-02-02,Software Release Description,xlsx
